log_id,investor,net_worth,datetime
0,antoinemicro,9962.435000000003,2024-02-25 13:12:58.802474
1,antoine68,12551.14500000001,2024-02-25 13:12:58.828418
2,chlidlunk,10156.420000005508,2024-02-25 13:12:58.844394
3,francoislgrd,11241.44,2024-02-25 13:12:58.857385
4,charlelee,10000.0,2024-02-25 13:12:58.861366
5,tanher,10000.21,2024-02-25 13:12:58.875352
6,antoinemicro,10163.138,2024-02-25 14:16:02.162984
7,antoine68,13400.639999999998,2024-02-25 14:16:02.186435
8,chlidlunk,10278.990000005522,2024-02-25 14:16:02.201409
9,francoislgrd,11879.02,2024-02-25 14:16:02.212904
10,charlelee,10000.0,2024-02-25 14:16:02.216385
11,tanher,10042.059999999998,2024-02-25 14:16:02.226869
12,antoinemicro,10165.377,2024-02-25 14:37:51.922140
13,antoine68,13562.898999999998,2024-02-25 14:37:51.945590
14,chlidlunk,10286.75000000552,2024-02-25 14:37:51.956582
15,francoislgrd,11928.53,2024-02-25 14:37:51.965068
16,charlelee,10000.0,2024-02-25 14:37:51.967553
17,tanher,10049.039999999995,2024-02-25 14:37:51.977049
18,antoinemicro,10167.516,2024-02-25 15:00:31.713227
19,antoine68,13722.589999999997,2024-02-25 15:00:31.741681
20,chlidlunk,10291.67000000552,2024-02-25 15:00:31.763646
21,francoislgrd,11968.42,2024-02-25 15:00:31.777124
22,charlelee,10000.0,2024-02-25 15:00:31.786609
23,tanher,10055.609999999995,2024-02-25 15:00:31.800089
24,antoinemicro,10169.519,2024-02-25 16:00:31.655372
25,antoine68,13880.474999999997,2024-02-25 16:00:31.679346
26,chlidlunk,10298.080000005515,2024-02-25 16:00:31.696324
27,francoislgrd,12007.74,2024-02-25 16:00:31.708287
28,charlelee,10000.0,2024-02-25 16:00:31.711282
29,tanher,10061.519999999997,2024-02-25 16:00:31.724775
30,antoinemicro,10171.265,2024-02-25 17:00:32.039534
31,antoine68,14054.534999999996,2024-02-25 17:00:32.102932
32,chlidlunk,10317.250000005512,2024-02-25 17:00:32.134880
33,francoislgrd,12029.7,2024-02-25 17:00:32.161837
34,charlelee,10000.0,2024-02-25 17:00:32.166330
35,tanher,10062.089999999993,2024-02-25 17:00:32.190791
36,antoinemicro,10175.224000000002,2024-02-25 18:00:32.037906
37,antoine68,14216.353999999996,2024-02-25 18:00:32.061369
38,chlidlunk,10326.95000000551,2024-02-25 18:00:32.073350
39,francoislgrd,12096.55,2024-02-25 18:00:32.083333
40,charlelee,10000.0,2024-02-25 18:00:32.085829
41,tanher,10065.19999999999,2024-02-25 18:00:32.094815
42,antoinemicro,10177.944,2024-02-25 19:00:31.559414
43,antoine68,14380.746,2024-02-25 19:00:31.586371
44,chlidlunk,10336.530000005516,2024-02-25 19:00:31.617351
45,francoislgrd,12175.030000000002,2024-02-25 19:00:31.631328
46,charlelee,10000.0,2024-02-25 19:00:31.634324
47,tanher,10056.629999999988,2024-02-25 19:00:31.644807
48,antoinemicro,10180.314000000004,2024-02-25 20:00:34.448375
49,antoine68,14542.785999999998,2024-02-25 20:00:34.480323
50,chlidlunk,10345.750000005515,2024-02-25 20:00:34.501290
51,francoislgrd,12246.820000000002,2024-02-25 20:00:34.513770
52,charlelee,10000.0,2024-02-25 20:00:34.517763
53,tanher,10063.229999999989,2024-02-25 20:00:34.528746
54,antoinemicro,10181.814000000002,2024-02-25 21:00:31.755994
55,antoine68,14703.436000000002,2024-02-25 21:00:31.773966
56,chlidlunk,10351.130000005516,2024-02-25 21:00:31.785946
57,francoislgrd,12296.550000000005,2024-02-25 21:00:31.794932
58,charlelee,10000.0,2024-02-25 21:00:31.797428
59,tanher,10069.609999999988,2024-02-25 21:00:31.806412
60,antoinemicro,10183.428000000004,2024-02-25 22:00:31.673508
61,antoine68,14863.164,2024-02-25 22:00:31.705076
62,chlidlunk,10357.770000005512,2024-02-25 22:00:31.716557
63,francoislgrd,12330.670000000004,2024-02-25 22:00:31.726043
64,charlelee,10000.0,2024-02-25 22:00:31.728040
65,tanher,10075.94999999999,2024-02-25 22:00:31.737026
66,antoinemicro,10186.132000000003,2024-02-25 23:00:31.671462
67,antoine68,15027.562,2024-02-25 23:00:31.696422
68,chlidlunk,10368.52000000551,2024-02-25 23:00:31.708403
69,francoislgrd,12363.910000000002,2024-02-25 23:00:31.717889
70,charlelee,10000.0,2024-02-25 23:00:31.720385
71,tanher,10083.029999999988,2024-02-25 23:00:31.742090
72,antoinemicro,10190.080000000004,2024-02-26 00:00:31.722077
73,antoine68,15192.78,2024-02-26 00:00:31.755523
74,chlidlunk,10379.670000005512,2024-02-26 00:00:31.773992
75,francoislgrd,12440.240000000003,2024-02-26 00:00:31.792462
76,charlelee,10000.0,2024-02-26 00:00:31.796456
77,tanher,10089.559999999989,2024-02-26 00:00:31.811933
78,antoinemicro,10192.510000000006,2024-02-26 01:00:32.394796
79,antoine68,15354.589999999998,2024-02-26 01:00:32.419750
80,chlidlunk,10387.230000005511,2024-02-26 01:00:32.432230
81,francoislgrd,12504.980000000003,2024-02-26 01:00:32.442705
82,charlelee,10000.0,2024-02-26 01:00:32.480153
83,tanher,10095.719999999988,2024-02-26 01:00:32.490637
84,antoinemicro,10195.268000000004,2024-02-26 02:00:34.498936
85,antoine68,15518.068,2024-02-26 02:00:34.518895
86,chlidlunk,10393.530000005523,2024-02-26 02:00:34.535378
87,francoislgrd,12560.660000000003,2024-02-26 02:00:34.546360
88,charlelee,10000.0,2024-02-26 02:00:34.548856
89,tanher,10103.969999999988,2024-02-26 02:00:34.558831
90,antoinemicro,10197.544000000007,2024-02-26 03:00:35.332295
91,antoine68,15670.296000000002,2024-02-26 03:00:35.353771
92,chlidlunk,10392.790000005523,2024-02-26 03:00:35.427162
93,francoislgrd,12590.540000000005,2024-02-26 03:00:35.584393
94,charlelee,10000.0,2024-02-26 03:00:35.586889
95,tanher,10110.449999999988,2024-02-26 03:00:35.595875
96,antoinemicro,10199.84300000001,2024-02-26 04:00:34.799384
97,antoine68,15821.055,2024-02-26 04:00:34.817355
98,chlidlunk,10389.630000005522,2024-02-26 04:00:34.828337
99,francoislgrd,12610.340000000004,2024-02-26 04:00:34.837322
100,charlelee,10000.0,2024-02-26 04:00:34.839818
101,tanher,10117.079999999987,2024-02-26 04:00:34.848305
102,antoinemicro,10202.379000000012,2024-02-26 05:00:34.725354
103,antoine68,15962.023000000005,2024-02-26 05:00:34.757295
104,chlidlunk,10378.09000000552,2024-02-26 05:00:34.768777
105,francoislgrd,12597.320000000003,2024-02-26 05:00:34.777748
106,charlelee,10000.0,2024-02-26 05:00:34.780259
107,tanher,10124.16999999999,2024-02-26 05:00:34.789245
108,antoinemicro,10204.795000000013,2024-02-26 06:00:34.671893
109,antoine68,16116.941,2024-02-26 06:00:34.690862
110,chlidlunk,10373.430000005495,2024-02-26 06:00:34.701845
111,francoislgrd,12609.020000000004,2024-02-26 06:00:34.713326
112,charlelee,10000.0,2024-02-26 06:00:34.715822
113,tanher,10130.139999999989,2024-02-26 06:00:34.724812
114,antoinemicro,10207.025000000014,2024-02-26 07:00:34.823256
115,antoine68,16275.801,2024-02-26 07:00:34.851200
116,chlidlunk,10377.790000005496,2024-02-26 07:00:34.863182
117,francoislgrd,12658.320000000003,2024-02-26 07:00:34.872671
118,charlelee,10000.0,2024-02-26 07:00:34.875167
119,tanher,10136.879999999988,2024-02-26 07:00:34.884148
120,antoinemicro,10209.267000000016,2024-02-26 08:00:34.348226
121,antoine68,16434.671000000002,2024-02-26 08:00:34.369692
122,chlidlunk,10382.140000005496,2024-02-26 08:00:34.381163
123,francoislgrd,12707.620000000004,2024-02-26 08:00:34.390160
124,charlelee,10000.0,2024-02-26 08:00:34.392655
125,tanher,10143.629999999988,2024-02-26 08:00:34.402140
126,antoinemicro,10211.221000000014,2024-02-26 09:00:34.670747
127,antoine68,16595.506999999994,2024-02-26 09:00:34.696198
128,chlidlunk,10388.990000005491,2024-02-26 09:00:34.707679
129,francoislgrd,12763.690000000004,2024-02-26 09:00:34.717170
130,charlelee,10000.0,2024-02-26 09:00:34.719660
131,tanher,10150.389999999989,2024-02-26 09:00:34.729146
132,antoinemicro,10213.451000000015,2024-02-26 10:00:34.970582
133,antoine68,16754.176999999992,2024-02-26 10:00:35.195730
134,chlidlunk,10393.240000005491,2024-02-26 10:00:35.208210
135,francoislgrd,12812.620000000004,2024-02-26 10:00:35.218194
136,charlelee,10000.0,2024-02-26 10:00:35.220681
137,tanher,10157.129999999986,2024-02-26 10:00:35.230175
138,antoinemicro,10215.685000000016,2024-02-26 11:00:35.122833
139,antoine68,16912.74699999999,2024-02-26 11:00:35.141301
140,chlidlunk,10397.39000000549,2024-02-26 11:00:35.154778
141,francoislgrd,12861.250000000004,2024-02-26 11:00:35.164263
142,charlelee,10000.0,2024-02-26 11:00:35.166260
143,tanher,10163.869999999988,2024-02-26 11:00:35.175735
144,antoinemicro,10213.49,2024-03-01 19:13:51.731389
145,antoine68,17052.79,2024-03-01 19:13:51.755849
146,chlidlunk,10372.85,2024-03-01 19:13:51.767330
147,francoislgrd,12784.88,2024-03-01 19:13:51.776316
148,charlelee,10000.0,2024-03-01 19:13:51.778812
149,tanher,10227.1,2024-03-01 19:13:51.787798
