update_id,stock_id,value,datetime
0,11750028.0,88.94,2024-02-19 22:51:06.332078
1,718454.0,207.88,2024-02-19 22:51:06.385798
2,11750028.0,89.12,2024-02-19 22:51:06.436909
3,718454.0,205.79,2024-02-19 22:51:06.499307
4,11750028.0,89.3,2024-02-19 22:51:07.589126
5,718454.0,207.88,2024-02-19 22:51:07.640043
6,11750028.0,89.66,2024-02-19 22:51:08.706427
7,718454.0,209.57,2024-02-19 22:51:08.755269
8,11750028.0,90.57,2024-02-19 22:51:09.827319
9,718454.0,210.41,2024-02-19 22:51:09.875062
10,11750028.0,90.94,2024-02-19 22:51:10.942634
11,718454.0,211.7,2024-02-19 22:51:10.999542
12,11750028.0,90.2,2024-02-19 22:51:12.071438
13,718454.0,209.57,2024-02-19 22:51:12.130283
14,11750028.0,89.3,2024-02-19 22:51:13.195737
15,718454.0,211.27,2024-02-19 22:51:13.243657
16,11750028.0,90.02,2024-02-19 22:51:14.324046
17,718454.0,210.84,2024-02-19 22:51:14.391951
18,11750028.0,90.75,2024-02-19 22:51:15.451871
19,718454.0,211.7,2024-02-19 22:51:15.498820
20,11750028.0,90.39,2024-02-19 22:51:16.575738
21,718454.0,212.13,2024-02-19 22:51:16.631647
22,11750028.0,90.2,2024-02-19 22:51:17.706983
23,718454.0,211.27,2024-02-19 22:51:17.766312
24,11750028.0,89.48,2024-02-19 22:51:18.833779
25,718454.0,210.41,2024-02-19 22:51:18.895182
26,11750028.0,90.2,2024-02-19 22:51:19.958729
27,718454.0,211.27,2024-02-19 22:51:20.007923
28,11750028.0,90.39,2024-02-19 22:51:21.081885
29,718454.0,212.99,2024-02-19 22:51:21.140791
30,11750028.0,90.94,2024-02-19 22:51:22.217392
31,718454.0,212.13,2024-02-19 22:51:22.293910
32,11750028.0,90.39,2024-02-19 22:51:23.374569
33,718454.0,213.85,2024-02-19 22:51:23.415271
34,11750028.0,89.66,2024-02-19 22:51:24.487050
35,718454.0,214.72,2024-02-19 22:51:24.540122
36,11750028.0,89.12,2024-02-19 22:51:25.619682
37,718454.0,216.47,2024-02-19 22:51:25.685141
38,718454.0,217.35,2024-02-19 22:51:26.794499
39,11750028.0,89.48,2024-02-19 22:51:27.886443
40,718454.0,215.15,2024-02-19 22:51:27.955418
41,14733798.0,168.24,2024-02-19 23:05:16.029348
42,14733798.0,172.33,2024-02-19 23:05:18.990908
43,14733798.0,170.61,2024-02-19 23:05:23.640212
44,14733798.0,179.37,2024-02-19 23:05:28.697369
45,14733798.0,188.59,2024-02-19 23:06:12.110000
46,14733798.0,198.33,2024-02-19 23:06:13.652123
47,14733798.0,208.62,2024-02-19 23:06:14.603358
48,11750028.0,94.13,2024-02-19 23:06:44.252995
49,11750028.0,99.05,2024-02-19 23:06:46.633190
50,11750028.0,76.5,2024-02-19 23:12:20.037946
51,11750028.0,83.72,2024-02-19 23:13:22.732333
52,718454.0,180.6,2024-02-19 23:13:22.838662
53,14733798.0,174.41,2024-02-19 23:13:22.890579
54,11750028.0,83.89,2024-02-19 23:13:22.946989
55,718454.0,182.42,2024-02-19 23:13:23.005897
56,14733798.0,173.71,2024-02-19 23:13:23.087264
57,11750028.0,83.05,2024-02-19 23:13:24.160382
58,718454.0,183.89,2024-02-19 23:13:24.230768
59,14733798.0,175.46,2024-02-19 23:13:24.315633
60,11750028.0,83.38,2024-02-19 23:13:25.437329
61,718454.0,183.52,2024-02-19 23:13:25.550641
